レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,11.41,1200
1,12時0分,12時0分,○,5.38,2840
3,3時0分,3時0分,○,4.11,4440
5,1時15分,1時15分,○,5.80,6400
7,5時55分,4時55分,✕,8.62,6400
5,1時40分,1時40分,○,5.98,7700
7,8時45分,8時45分,○,6.60,9100
8,1時55分,1時55分,○,6.42,10840
9,9時5分,9時5分,○,3.88,12640
11,8時50分,8時50分,○,4.33,15000
12,8時50分,4時10分,--,--,15000,タイムアップ
