レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,21.77,1200
1,9時0分,9時0分,○,5.62,2840
3,6時0分,6時0分,○,3.07,4580
5,11時0分,11時0分,○,4.63,6540
7,5時40分,6時40分,✕,10.30,6540
5,7時25分,7時25分,○,5.53,7840
7,3時25分,3時25分,○,5.83,9360
9,11時45分,11時45分,○,4.53,10960
11,4時20分,4時20分,○,6.21,12920
12,11時35分,5時55分,--,--,12920,タイムアップ
