レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,11.37,1200
レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,20.61,1200
1,6時0分,6時0分,○,6.40,2720
レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,6.47,1200
2,6時0分,6時0分,○,2.57,2840
5,3時0分,3時0分,○,2.37,4720
8,11時30分,11時30分,○,2.20,6840
11,12時10分,12時15分,✕,4.78,7380
8,3時5分,3時5分,○,3.14,8680
10,12時15分,12時15分,○,4.55,10440
12,7時10分,7時10分,○,4.51,12180
12,5時55分,5時55分,○,1.97,14140
12,10時35分,10時40分,✕,3.78,14320
9,6時15分,6時15分,○,3.01,15620
11,1時40分,1時40分,○,3.71,17260
12,4時55分,4時55分,○,2.44,19000
12,4時15分,4時15分,○,2.27,21120
12,6時10分,6時10分,○,2.94,23300
12,6時10分,6時15分,--,--,23300,タイムアップ
レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,5.27,1200
3,12時0分,12時15分,✕,2.64,1320
2,6時0分,6時20分,✕,8.50,1420
1,12時0分,12時0分,○,3.97,2920
3,9時0分,9時0分,○,2.77,4440
6,9時0分,9時0分,○,1.73,6180
9,10時30分,10時30分,○,2.47,8300
12,6時55分,6時55分,○,2.87,10480
12,6時50分,6時50分,○,3.04,12880
12,5時10分,5時10分,○,3.95,15280
12,9時10分,9時10分,○,3.41,18120
12,8時25分,8時25分,○,2.60,21180
12,11時45分,11時45分,○,2.67,24460
12,2時25分,2時25分,○,2.61,28260
12,2時25分,2時30分,--,--,28260,タイムアップ
