レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,12.35,1200
1,9時0分,9時0分,○,5.55,2840
3,9時0分,9時0分,○,1.74,4580
6,9時45分,9時45分,○,1.77,6700
9,9時15分,9時15分,○,1.73,9060
12,5時30分,5時30分,○,1.69,11460
12,1時30分,1時30分,○,1.73,14300
12,1時40分,1時40分,○,1.74,17380
レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,13.17,1200
1,6時0分,6時0分,○,4.44,2840
3,3時0分,3時0分,○,1.74,4720
6,10時15分,10時15分,○,1.74,6840
9,9時0分,9時0分,○,1.77,9020
12,7時10分,7時10分,○,1.73,11620
12,10時50分,10時50分,○,1.73,14460
12,11時10分,11時10分,○,1.70,17300
12,11時0分,11時0分,○,1.73,20620
12,8時15分,8時15分,○,1.70,24180
12,5時45分,5時45分,○,1.74,27680
12,5時40分,5時40分,○,1.70,31720
12,10時5分,10時5分,○,1.73,35660
12,1時35分,1時35分,○,1.77,40180
